"Time","SCI Pozo SM01 Air Temperature Average AirT_C_Avg degC","SCI Pozo SM01 Rainfall Sum Rain_mm_Tot mm","SCI Pozo SM01 Relative Humidity Maximum RH_Max %"
"2021-08-08 00:00:00",13.24,0,100
"2021-08-08 00:10:00",13.16,0,100
"2021-08-08 00:20:00",12.95,0,100
"2021-08-08 00:30:00",12.92,0,100
"2021-08-08 00:40:00",12.85,0,100
"2021-08-08 00:50:00",12.82,0,100
"2021-08-08 01:00:00",12.84,0,100
"2021-08-08 01:10:00",12.9,0,100
"2021-08-08 01:20:00",12.97,0,100
"2021-08-08 01:30:00",13.01,0,100
"2021-08-08 01:40:00",13.5,0,100
"2021-08-08 01:50:00",14.29,0,100
"2021-08-08 02:00:00",14.33,0,100
"2021-08-08 02:10:00",14.4,0,100
"2021-08-08 02:20:00",14.47,0,100
"2021-08-08 02:30:00",14.44,0,100
"2021-08-08 02:40:00",14.42,0,100
"2021-08-08 02:50:00",14.42,0,100
"2021-08-08 03:00:00",14.44,0,100
"2021-08-08 03:10:00",14.44,0,100
"2021-08-08 03:20:00",14.4,0,100
"2021-08-08 03:30:00",14.42,0,100
"2021-08-08 03:40:00",14.46,0,100
"2021-08-08 03:50:00",14.39,0,100
"2021-08-08 04:00:00",14.37,0,100
"2021-08-08 04:10:00",14.31,0,100
"2021-08-08 04:20:00",14.27,0.017,100
"2021-08-08 04:30:00",14.27,0,100
"2021-08-08 04:40:00",14.28,0,100
"2021-08-08 04:50:00",14.22,0,100
"2021-08-08 05:00:00",14.17,0.017,100
"2021-08-08 05:10:00",14.19,0,100
"2021-08-08 05:20:00",14.18,0,100
"2021-08-08 05:30:00",14.1,0,100
"2021-08-08 05:40:00",14.1,0.017,100
"2021-08-08 05:50:00",14.04,0,100
"2021-08-08 06:00:00",14.05,0.017,100
"2021-08-08 06:10:00",14,0,100
"2021-08-08 06:20:00",14.02,0,100
"2021-08-08 06:30:00",14.04,0.017,100
"2021-08-08 06:40:00",14.04,0.017,100
"2021-08-08 06:50:00",14.05,0,100
"2021-08-08 07:00:00",14.19,0,100
"2021-08-08 07:10:00",14.22,0,100
"2021-08-08 07:20:00",14.23,0,100
"2021-08-08 07:30:00",14.42,0,100
"2021-08-08 07:40:00",14.34,0,100
"2021-08-08 07:50:00",14.49,0,100
"2021-08-08 08:00:00",14.46,0,100
"2021-08-08 08:10:00",14.56,0,100
"2021-08-08 08:20:00",14.6,0,100
"2021-08-08 08:30:00",14.74,0,100
"2021-08-08 08:40:00",14.81,0,100
"2021-08-08 08:50:00",15.03,0,100
"2021-08-08 09:00:00",15.03,0,100
"2021-08-08 09:10:00",15.12,0,100
"2021-08-08 09:20:00",15.28,0,100
"2021-08-08 09:30:00",15.64,0,100
"2021-08-08 09:40:00",15.7,0,100
"2021-08-08 09:50:00",15.73,0,100
