site,year,month,day,hour,temp,rh_avg,rain_mm,fog_ml
sauc,2011,6,1,0,8.03,100,0,0
sauc,2011,6,1,0,8,100,0,0
sauc,2011,6,1,0,7.94,100.1,0,0
sauc,2011,6,1,0,7.85,100.1,0,0
sauc,2011,6,1,1,7.68,100.1,0,0
sauc,2011,6,1,1,7.51,100.2,0,0
sauc,2011,6,1,1,7.45,100.2,0,0
sauc,2011,6,1,1,7.35,100.2,0,0
sauc,2011,6,1,2,7.22,100.2,0,0
sauc,2011,6,1,2,7.15,100.1,0,0
sauc,2011,6,1,2,7.11,100,0,0
sauc,2011,6,1,2,7.08,99.9,0,0
sauc,2011,6,1,3,7.09,99.5,0,0
sauc,2011,6,1,3,7.06,99.1,0,0
sauc,2011,6,1,3,7.09,98.4,0,0
sauc,2011,6,1,3,7.09,97.6,0,0
sauc,2011,6,1,4,7.08,96.9,0,0
sauc,2011,6,1,4,6.997,96.9,0,0
sauc,2011,6,1,4,7.05,97,0,0
sauc,2011,6,1,4,7.1,96.9,0,0
sauc,2011,6,1,5,7.1,96.7,0,0
sauc,2011,6,1,5,7.13,96.5,0,0
sauc,2011,6,1,5,7.23,96.3,0,0
sauc,2011,6,1,5,7.24,96.4,0,0
sauc,2011,6,1,6,7.34,96,0,0
sauc,2011,6,1,6,7.43,95.9,0,0
sauc,2011,6,1,6,7.64,94.7,0,0
sauc,2011,6,1,6,7.88,93.4,0,0
sauc,2011,6,1,7,8.34,90.5,0,0
sauc,2011,6,1,7,8.77,87.8,0,0
sauc,2011,6,1,7,8.97,87.4,0,0
sauc,2011,6,1,7,9.28,85.2,0,0
sauc,2011,6,1,8,9.51,84.8,0,0
sauc,2011,6,1,8,9.73,83.8,0,0
sauc,2011,6,1,8,9.99,82.4,0,0
sauc,2011,6,1,8,9.67,86.4,0,0
sauc,2011,6,1,9,9.77,85.6,0,0
sauc,2011,6,1,9,10.16,83.7,0,0
sauc,2011,6,1,9,10.28,84,0,0
sauc,2011,6,1,9,10.1,87,0,0
sauc,2011,6,1,10,10.07,88.5,0,0
sauc,2011,6,1,10,10.02,89.7,0,0
sauc,2011,6,1,10,10.22,89,0,0
sauc,2011,6,1,10,10.43,87.6,0,0
sauc,2011,6,1,11,10.18,88,0,0
sauc,2011,6,1,11,10.03,90.6,0,0
sauc,2011,6,1,11,10.25,89.6,0,0
sauc,2011,6,1,11,10.2,88.6,0,0
sauc,2011,6,1,12,10.59,87.1,0,0
sauc,2011,6,1,12,10.81,86,0,0
