site,year,month,day,hour,minute,DOY,airtc_avg,airtc_min,airtc_min_minsago,airtc_max,airtc_max_minsago,rh_avg,rh_min,rh_max,ws_ms_avg,par_den_avg,par_den_min,par_den_max,ptemp_c_avg,e_satvp_avg,vpd-air,vpd-air-sauc,e_vpd_avg,e_satvp_min_kpa,e_vpd_min_kpa,e_datvp_max_kpa,e_vpd_max_kpa,pa_us_usec,pa_us_2_usec,rain_converted_mm,fog_mm_tot,fog_vol_ml,par_tot_tot,sap1n,sap2n,sap2s,sap3n,sap4n,sap5n,sap5s,sap6n,sap7n,sap7s,tdr1,
upem,2010,7,1,0,0,182,9.37,9.3,13,9.43,5,100,100,100,2.712,10.74,10.3,11.2,10.04,1.176,1.176,0.51744,0,1.171,0,1.181,0,20.97,21.96,0,0,0,NaN,-0.23412,-0.000335,-0.22942,0.002683,-0.32234,-0.24519,-0.17777,-0.23882,-0.25391,-0.215,0.109,0.133
upem,2010,7,1,0,15,182,9.39,9.3,14,9.47,6,100,100,100,2.448,10.01,9.39,10.6,10.07,1.178,1.178,0.51832,0,1.171,0,1.184,0,20.96,21.96,0,0.1,3.7253,NaN,-0.23444,-0.000335,-0.22941,0.002683,-0.32164,-0.24517,-0.17742,-0.23847,-0.25356,-0.21499,0.109,0.133
upem,2010,7,1,0,30,182,9.42,9.33,11,9.5,12,100,100,100,2.222,10.19,9.69,10.9,10.1,1.18,1.18,0.5192,0,1.173,0,1.187,0,20.96,21.95,0,0.2,7.4506,NaN,-0.23447,-0.000671,-0.22944,0.002683,-0.32135,-0.24453,-0.17778,-0.23816,-0.25392,-0.21468,0.109,0.133
upem,2010,7,1,0,45,182,9.35,9.26,1,9.4,14,100,100,100,2.309,10.3,8.48,11.2,10.13,1.175,1.175,0.517,0,1.168,0,1.179,0,20.96,21.95,0,0,0,NaN,-0.23445,-0.000335,-0.22875,0.002683,-0.32098,-0.24484,-0.17776,-0.23814,-0.25356,-0.21432,0.109,0.133
upem,2010,7,1,1,0,182,9.29,9.2,5,9.33,13,100,100,100,1.632,10.56,9.99,10.9,10.12,1.17,1.17,0.5148,0,1.162,0,1.173,0,20.96,21.95,0,0.1,3.7253,NaN,-0.23446,-0.000671,-0.22875,0.003019,-0.32099,-0.24519,-0.17777,-0.23815,-0.25357,-0.214,0.109,0.133
upem,2010,7,1,1,15,182,9.2,9.13,5,9.26,9,100,100,100,1.047,9.59,9.08,10.3,10.07,1.163,1.163,0.51172,0,1.157,0,1.168,0,20.96,21.93,0,0.1,3.7253,NaN,-0.23478,-0.001006,-0.22874,0.003019,-0.32031,-0.24585,-0.1791,-0.2378,-0.25356,-0.21399,0.109,0.132
upem,2010,7,1,1,30,182,9.08,8.99,5,9.16,11,100,100,100,1.048,8.8,8.48,9.08,9.94,1.154,1.154,0.50776,0,1.147,0,1.16,0,20.96,21.95,0,0,0,NaN,-0.23479,-0.001006,-0.22875,0.003019,-0.32032,-0.24653,-0.17978,-0.23747,-0.25357,-0.21332,0.109,0.133
upem,2010,7,1,1,45,182,9.04,8.99,7,9.16,14,100,100,100,0.946,8.1,6.965,9.08,9.82,1.151,1.151,0.50644,0,1.147,0,1.16,0,20.96,21.93,0,0.1,3.7253,NaN,-0.23512,-0.001006,-0.22842,0.003354,-0.31965,-0.24653,-0.17978,-0.23781,-0.25324,-0.21299,0.109,0.132
upem,2010,7,1,2,0,182,9.01,8.93,10,9.07,0,100,100,100,1.16,4.986,3.936,6.965,9.64,1.148,1.148,0.50512,0,1.142,0,1.152,0,20.96,21.93,0,0,0,NaN,-0.23512,-0.001342,-0.22774,0.003354,-0.31964,-0.24686,-0.18011,-0.23713,-0.25323,-0.21298,0.109,0.132
upem,2010,7,1,2,15,182,9.02,8.93,12,9.1,0,100,100,100,1.016,4.724,4.239,5.148,9.43,1.149,1.149,0.50556,0,1.142,0,1.155,0,20.96,21.93,0,0.1,3.7253,NaN,-0.23515,-0.001677,-0.22743,0.003354,-0.31901,-0.24689,-0.18047,-0.23716,-0.2536,-0.21234,0.109,0.132
upem,2010,7,1,2,30,182,9.46,9.17,14,9.61,4,100,100,100,1.378,8.28,5.451,9.69,9.39,1.183,1.183,0.52052,0,1.16,0,1.195,0,20.96,21.93,0,0,0,NaN,-0.23514,-0.001342,-0.22743,0.003354,-0.319,-0.24688,-0.17946,-0.23682,-0.25326,-0.21233,0.109,0.132
upem,2010,7,1,2,45,182,9.79,9.61,14,9.91,0,100,100,100,0.979,8.44,7.571,9.69,9.66,1.21,1.21,0.5324,0,1.195,0,1.22,0,20.94,21.93,0,0,0,NaN,-0.23514,-0.001342,-0.22709,0.003354,-0.31867,-0.24688,-0.17946,-0.23649,-0.25326,-0.212,0.109,0.132
