site,year,month,day,hour,temp,rh,e_vpd,rain_mm,fog_ml
upem,2011,6,1,0,12.79,100,1.079,0,0
upem,2011,6,1,0,12.79,100,1.073,0,0
upem,2011,6,1,0,12.78,100,1.066,0,0
upem,2011,6,1,0,12.77,100,1.057,0,0
upem,2011,6,1,1,12.76,100,1.045,0,0
upem,2011,6,1,1,12.75,100,1.036,0,0
upem,2011,6,1,1,12.74,100,1.028,0,0
upem,2011,6,1,1,12.73,100,1.014,0,0
upem,2011,6,1,2,12.72,100,1.004,0,0
upem,2011,6,1,2,12.71,100,1.003,0,0
upem,2011,6,1,2,12.71,100,0.995,0,0
upem,2011,6,1,2,12.69,100,0.997,0,0
upem,2011,6,1,3,12.68,100,0.996,0,0
upem,2011,6,1,3,12.68,100,0.989,0,0
upem,2011,6,1,3,12.67,100,0.989,0,0
upem,2011,6,1,3,12.66,100,0.992,0,0
upem,2011,6,1,4,12.65,99.4,0.999,0,0
upem,2011,6,1,4,12.64,98.2,0.997,0,0
upem,2011,6,1,4,12.64,97.4,0.991,0,0
upem,2011,6,1,4,12.63,95.3,1,0,0
upem,2011,6,1,5,12.63,93.3,1.012,0,0
upem,2011,6,1,5,12.63,92.7,1.018,0,0
upem,2011,6,1,5,12.7,91.8,1.032,0,0
upem,2011,6,1,5,12.85,92,1.035,0,0
upem,2011,6,1,6,13.08,92,1.042,0,0
upem,2011,6,1,6,13.37,90.6,1.059,0,0
upem,2011,6,1,6,13.57,88.7,1.077,0,0
upem,2011,6,1,6,13.55,88,1.093,0,0
upem,2011,6,1,7,13.52,85.9,1.119,0,0
upem,2011,6,1,7,13.52,81.7,1.153,0,0
upem,2011,6,1,7,13.51,80.1,1.177,0,0
upem,2011,6,1,7,13.48,78.18,1.205,0,0
upem,2011,6,1,8,13.47,75.79,1.244,0,0
upem,2011,6,1,8,13.45,74.4,1.271,0,0
upem,2011,6,1,8,13.43,75.15,1.292,0,0
upem,2011,6,1,8,13.42,79.24,1.273,0,0
