station,latitude,longitude,elevation,utmzone,utmdatum
cair,34.01816667,-119.85575,200,11,WGS84
cpin,34.01283333,-119.8016389,1443,11,WGS84
crak,34.01619444,-119.81375,661,11,WGS84
crat,34.015124,-119.812267,600,11,WGS84
eenc,34.00836111,-119.7787778,1276,11,WGS84
eend,34.00836111,-119.7787778,1276,11,WGS84
erdg,34.01027778,-119.7883333,1325,11,WGS84
sauc,34.00102778,-119.8179167,976,11,WGS84
upem,34.012531,-119.801828,440.78,11,WGS84
wrdg,34.01747222,-119.8453333,485,11,WGS84
pozo-smo2,34.003463,-119.858675,230,11,WGS84
pozo-smo1,34.003886,-119.860175,200,11,WGS84
