time,precip_in,wind_speed_mpg,wind_dir_deg,temp_avg_F,fuel_temp_F,rel_humid,batt_v,perc_fuel_moisture,gust_max_dir,gust_max_speed,solar_rad
312190700,19.95,1,8,40,36,32,-9999,9,288,6,
312190800,19.95,2,108,46,47,38,-9999,9,259,7,-9999
312190900,19.95,0,140,57,67,32,11.6,9,202,5,-9999
312191000,19.95,2,35,65,82,24,11.9,8,87,11,-9999
312191100,19.95,3,79,64,76,16,11.7,7,101,7,-9999
312191200,19.95,4,213,67,79,10,12.2,6,102,7,-9999
312201000,20.15,2,271,54,62,84,11.2,26,301,4,-9999
312201100,20.15,4,83,54,60,79,11.2,26,77,10,-9999
312201200,20.15,2,85,54,58,77,11,26,116,7,-9999
312201300,20.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312201400,20.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312210700,20.19,1,269,46,45,87,-9999,27,278,2,-9999
312210800,20.19,1,93,48,52,87,-9999,26,306,2,-9999
312210900,20.19,0,94,57,65,87,13.5,26,162,2,-9999
312211600,20.19,4,249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312211700,20.19,1,151,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312211800,20.19,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312220700,20.19,0,139,41,38,87,-9999,27,90,1,-9999
312220800,20.2,0,296,45,47,88,-9999,26,126,0,-9999
312220900,20.2,0,111,53,61,87,13.4,26,54,0,-9999
312221000,20.2,3,110,57,65,86,12.5,26,99,5,-9999
312221100,20.2,2,149,62,66,55,11.7,26,63,6,-9999
312221200,20.2,5,112,62,64,47,11.7,26,79,9,-9999
312260700,22.35,6,315,55,29,73,-9999,27,318,18,-9999
312260800,22.35,7,337,49,43,62,-9999,27,314,26,-9999
312260900,22.35,7,333,53,55,54,11.8,26,281,23,-9999
312261000,22.35,12,310,52,57,50,11.8,26,291,25,-9999
312261100,22.35,11,305,52,61,48,12.4,26,288,26,-9999
312261200,22.35,12,307,53,62,45,12.5,26,305,29,-9999
312261300,22.35,13,305,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312261400,22.35,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312261500,22.35,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312270700,22.35,6,306,46,42,52,-9999,20,311,15,-9999
312270800,22.35,7,303,48,45,50,-9999,20,291,13,-9999
312270900,22.35,3,231,54,61,42,13.6,22,294,13,-9999
312271000,22.35,4,60,57,72,35,13.1,17,86,9,-9999
312271100,22.35,3,21,58,76,25,12.3,12,348,10,-9999
312271200,22.35,4,119,58,70,22,11.9,11,111,9,-9999
312271900,22.35,1,295,38,35,75,-9999,-9999,-9999,-9999,-9999
312272000,22.35,1,116,38,34,78,-9999,-9999,-9999,-9999,-9999
312272100,22.35,1,310,37,34,72,-9999,-9999,-9999,-9999,-9999
312280700,22.35,0,31,31,28,79,-9999,24,114,2,-9999
312280800,22.35,2,285,35,32,77,-9999,24,256,4,-9999
312280900,22.35,1,162,54,58,47,13.8,26,242,4,-9999
312281000,22.35,2,137,58,70,31,13.1,22,86,5,-9999
312281100,22.35,4,48,56,75,29,12.2,14,57,10,-9999
312281200,22.35,4,25,57,73,25,12.1,12,74,9,-9999
312290700,22.35,1,247,36,37,80,-9999,24,116,5,-9999
312290800,22.35,1,285,40,42,78,-9999,25,269,5,-9999
312290900,22.35,1,108,45,50,75,11.1,25,247,2,-9999
312291000,22.35,2,68,53,60,64,13.4,26,115,5,-9999
312291100,22.35,3,91,53,61,60,11.8,20,104,10,-9999
312291200,22.35,5,75,52,60,63,11.7,16,173,10,-9999
312291300,22.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312291400,22.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312300700,22.37,6,98,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312300800,22.37,8,93,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312300900,22.37,9,97,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
312301300,22.37,8,104,56,63,42,13.5,14,88,17,-9999
312301400,22.37,8,90,58,66,43,12.4,14,100,16,-9999
312301500,22.37,8,109,55,58,41,11.3,11,113,15,-9999
312310700,22.37,3,291,40,36,72,-9999,20,290,5,-9999
312310800,22.37,1,274,42,40,74,-9999,23,284,5,-9999
312310900,22.37,2,247,57,62,47,13.6,23,251,4,-9999
312311000,22.37,1,135,65,75,30,12.8,16,220,2,-9999
312311100,22.37,4,213,62,75,28,12.2,11,200,8,-9999
312311200,22.37,3,197,63,74,28,12.1,11,179,7,-9999
401021000,22.95,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401021100,22.95,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401021200,22.95,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401021300,22.95,1,320,57,63,-9999,-9999,-9999,-9999,-9999,-9999
401021400,22.95,5,284,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401021500,22.95,5,289,55,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401030700,22.96,7,305,45,39,57,-9999,27,321,19,-9999
401030800,22.96,6,323,46,41,53,-9999,27,285,16,-9999
401030900,22.96,7,322,52,54,47,13.7,26,311,20,-9999
401031000,22.96,6,318,53,61,41,12.3,26,291,16,-9999
401031100,22.96,6,330,55,68,36,12.3,25,333,13,-9999
401031200,22.96,6,318,56,67,39,12.2,25,354,17,-9999
401032200,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401032300,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401040000,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401040400,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401040500,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401040700,22.96,2,298,43,35,45,-9999,17,1,6,-9999
401040800,22.96,0,271,41,36,47,-9999,19,278,3,-9999
401040900,22.96,1,98,57,64,28,13.9,20,146,3,-9999
401041000,22.96,2,83,60,74,24,12.6,16,143,5,-9999
401041100,22.96,2,208,58,75,30,12.3,12,79,7,-9999
401041200,22.96,2,14,61,74,30,12.2,10,114,6,-9999
401041300,22.96,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401041400,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401041500,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401041900,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401042000,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401042200,22.96,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401042300,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401050000,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401050700,22.96,8,48,50,45,27,-9999,14,85,16,-9999
401050800,22.96,11,21,52,51,25,11,14,12,25,-9999
401050900,22.96,8,26,53,56,25,11.6,13,56,27,-9999
401051000,22.96,8,21,56,68,21,14,12,73,18,-9999
401051100,22.96,7,8,57,72,17,13.1,11,6,20,-9999
401051200,22.96,8,7,58,70,16,12.4,10,22,22,-9999
401051300,22.96,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
401051400,22.96,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
