,datetime,potential_solar_rad,month,day,clock_time
16,2023-03-01 07:00:00,32.467213,3,1,07:00:00
17,2023-03-01 07:30:00,58.696186,3,1,07:30:00
18,2023-03-01 08:00:00,93.15233,3,1,08:00:00
19,2023-03-01 08:30:00,159.43903,3,1,08:30:00
20,2023-03-01 09:00:00,236.06943,3,1,09:00:00
21,2023-03-01 09:30:00,315.19583,3,1,09:30:00
0,2023-03-01 10:00:00,392.01355,3,1,10:00:00
1,2023-03-01 10:30:00,462.43274,3,1,10:30:00
2,2023-03-01 11:00:00,523.4372,3,1,11:00:00
3,2023-03-01 11:30:00,572.6397,3,1,11:30:00
4,2023-03-01 12:00:00,608.1697,3,1,12:00:00
5,2023-03-01 12:30:00,628.64105,3,1,12:30:00
6,2023-03-01 13:00:00,633.1416,3,1,13:00:00
7,2023-03-01 13:30:00,621.201,3,1,13:30:00
8,2023-03-01 14:00:00,592.7319,3,1,14:00:00
9,2023-03-01 14:30:00,547.96826,3,1,14:30:00
10,2023-03-01 15:00:00,487.42932,3,1,15:00:00
11,2023-03-01 15:30:00,412.87454,3,1,15:30:00
12,2023-03-01 16:00:00,323.92358,3,1,16:00:00
13,2023-03-01 16:30:00,223.56519,3,1,16:30:00
14,2023-03-01 17:00:00,118.86192,3,1,17:00:00
15,2023-03-01 17:30:00,27.300987,3,1,17:30:00
38,2023-03-02 07:00:00,33.89873,3,2,07:00:00
39,2023-03-02 07:30:00,59.537994,3,2,07:30:00
40,2023-03-02 08:00:00,96.28252,3,2,08:00:00
41,2023-03-02 08:30:00,163.56612,3,2,08:30:00
42,2023-03-02 09:00:00,240.83325,3,2,09:00:00
43,2023-03-02 09:30:00,320.4601,3,2,09:30:00
22,2023-03-02 10:00:00,397.58746,3,2,10:00:00
23,2023-03-02 10:30:00,468.21442,3,2,10:30:00
24,2023-03-02 11:00:00,529.3504,3,2,11:00:00
25,2023-03-02 11:30:00,578.62244,3,2,11:30:00
26,2023-03-02 12:00:00,614.168,3,2,12:00:00
27,2023-03-02 12:30:00,634.6071,3,2,12:30:00
28,2023-03-02 13:00:00,639.03375,3,2,13:00:00
29,2023-03-02 13:30:00,626.9847,3,2,13:30:00
30,2023-03-02 14:00:00,598.37823,3,2,14:00:00
31,2023-03-02 14:30:00,553.4513,3,2,14:30:00
32,2023-03-02 15:00:00,492.72217,3,2,15:00:00
33,2023-03-02 15:30:00,417.89136,3,2,15:30:00
34,2023-03-02 16:00:00,328.71558,3,2,16:00:00
35,2023-03-02 16:30:00,227.87271,3,2,16:30:00
36,2023-03-02 17:00:00,122.44688,3,2,17:00:00
37,2023-03-02 17:30:00,28.361235,3,2,17:30:00
60,2023-03-03 07:00:00,35.303608,3,3,07:00:00
61,2023-03-03 07:30:00,60.342125,3,3,07:30:00
62,2023-03-03 08:00:00,99.49185,3,3,08:00:00
63,2023-03-03 08:30:00,167.76862,3,3,08:30:00
64,2023-03-03 09:00:00,245.66139,3,3,09:00:00
65,2023-03-03 09:30:00,325.7735,3,3,09:30:00
44,2023-03-03 10:00:00,403.20062,3,3,10:00:00
45,2023-03-03 10:30:00,474.02655,3,3,10:30:00
46,2023-03-03 11:00:00,535.286,3,3,11:00:00
47,2023-03-03 11:30:00,584.62,3,3,11:30:00
48,2023-03-03 12:00:00,620.1742,3,3,12:00:00
49,2023-03-03 12:30:00,640.57446,3,3,12:30:00
50,2023-03-03 13:00:00,644.92126,3,3,13:00:00
51,2023-03-03 13:30:00,632.7586,3,3,13:30:00
52,2023-03-03 14:00:00,604.01086,3,3,14:00:00
53,2023-03-03 14:30:00,558.91833,3,3,14:30:00
54,2023-03-03 15:00:00,497.99814,3,3,15:00:00
55,2023-03-03 15:30:00,422.91617,3,3,15:30:00
56,2023-03-03 16:00:00,333.32034,3,3,16:00:00
57,2023-03-03 16:30:00,232.21838,3,3,16:30:00
58,2023-03-03 17:00:00,126.11079,3,3,17:00:00
59,2023-03-03 17:30:00,29.399323,3,3,17:30:00
82,2023-03-04 07:00:00,36.67267,3,4,07:00:00
83,2023-03-04 07:30:00,61.104706,3,4,07:30:00
84,2023-03-04 08:00:00,102.781525,3,4,08:00:00
85,2023-03-04 08:30:00,172.04611,3,4,08:30:00
86,2023-03-04 09:00:00,250.5523,3,4,09:00:00
87,2023-03-04 09:30:00,331.13303,3,4,09:30:00
66,2023-03-04 10:00:00,408.8501,3,4,10:00:00
67,2023-03-04 10:30:00,479.8661,3,4,10:30:00
