,time (PST),fog,air temperature (C),relative humidity (%),wind speed (m/s),wind gust (m/s),wind direction (deg),rain (mm),leaf wetness,soil moisture,fog tips
0,2004-04-05 15:00:00,0.0,14.73,73.300003,3.138,5.6059999,279.60001,0.0,2.0392001,0.11574,0.0
1,2004-04-05 16:00:00,0.0,13.98,75.599998,3.1229999,5.9580002,275.89999,0.0,1.9073,0.11701,0.0
2,2004-04-05 17:00:00,0.0,12.93,78.300003,3.3959999,5.9000001,284.10001,0.0,1.6473,0.11829,0.0
3,2004-04-05 18:00:00,0.0,11.9,80.5,3.0580001,5.664,283.39999,0.0,0.44980001,0.11871,0.0
4,2004-04-05 19:00:00,0.0,10.96,85.400002,2.3199999,4.8410001,285.39999,0.0,0.095799997,0.11914,0.0
5,2004-04-05 20:00:00,0.0,10.51,87.599998,1.78,4.4299998,288.20001,0.0,0.0275,0.11871,0.0
6,2004-04-05 21:00:00,0.0,10.34,86.400002,2.0280001,4.5079999,290.5,0.0,0.071400002,0.11829,0.0
7,2004-04-05 22:00:00,0.0,8.4799995,86.800003,0.98400003,3.175,27.16,0.0,0.0153,0.11786,0.0
8,2004-04-05 23:00:00,0.0,6.1750002,91.800003,1.123,2.1760001,83.0,0.0,0.0128,0.11744,0.0
9,2004-04-06 00:00:00,0.0,5.573,93.199997,0.861,2.0190001,96.800003,0.0,0.0128,0.11744,0.0
10,2004-04-06 01:00:00,0.0,5.3249998,94.099998,0.88499999,1.7640001,94.699997,0.0,0.0153,0.11659,0.0
11,2004-04-06 02:00:00,0.0,6.5890002,95.099998,0.88999999,4.0770001,234.89999,0.0,0.0177,0.11574,0.0
12,2004-04-06 03:00:00,0.0,9.2700005,91.800003,1.696,3.9400001,295.29999,0.0,0.021400001,0.11574,0.0
13,2004-04-06 04:00:00,0.0,9.2600002,89.0,1.615,3.9979999,299.20001,0.0,0.0385,0.11532,0.0
14,2004-04-06 05:00:00,0.0,8.6400003,86.800003,1.044,3.822,312.89999,0.0,0.0287,0.11489,0.0
