,time (PST),fog,air temperature (C),relative humidity (%),wind speed (m/s),wind gust (m/s),wind direction (deg),rain (mm),leaf wetness,soil moisture,fog tips
0,2004-04-11 06:00:00,0.0,9.9499998,97.300003,1.631,4.4299998,103.3,0.0,0.1251,0.06696,0.0
1,2004-04-11 07:00:00,0.2,10.24,97.300003,1.45,3.0380001,108.3,0.0,0.2216,0.066540003,1.0
2,2004-04-11 08:00:00,0.0,11.12,97.300003,2.4560001,5.3899999,105.0,0.25400001,2.066,0.066540003,0.0
3,2004-04-11 09:00:00,0.0,13.78,95.900002,1.242,3.6259999,102.4,0.0,2.0905001,0.06611,0.0
4,2004-04-11 10:00:00,0.0,16.92,74.099998,0.875,3.763,110.4,0.0,2.0917001,0.065690003,0.0
5,2004-04-11 11:00:00,0.0,18.67,65.269997,1.05,2.783,285.70001,0.0,2.0917001,0.064839996,0.0
6,2004-04-11 12:00:00,0.0,16.57,74.800003,1.566,3.5280001,295.89999,0.0,2.0917001,0.064839996,0.0
7,2004-04-11 13:00:00,0.0,17.07,72.599998,1.5880001,3.332,289.60001,0.0,2.0917001,0.064410001,0.0
8,2004-04-11 14:00:00,0.0,15.95,74.699997,2.46,4.5279999,301.39999,0.0,2.0917001,0.065260001,0.0
9,2004-04-11 15:00:00,0.0,16.17,71.599998,1.809,3.6259999,298.29999,0.0,2.0917001,0.065690003,0.0
10,2004-04-11 16:00:00,0.0,16.879999,69.120003,1.363,2.724,298.39999,0.0,2.0917001,0.06611,0.0
11,2004-04-11 17:00:00,0.0,18.43,63.68,0.72399998,1.7640001,304.39999,0.0,2.0917001,0.065690003,0.0
12,2004-04-11 18:00:00,0.0,20.139999,37.240002,0.244,1.039,288.0,0.0,2.0917001,0.06611,0.0
13,2004-04-11 19:00:00,0.0,18.459999,27.58,1.46,3.0969999,287.5,0.0,2.0929,0.066540003,0.0
14,2004-04-11 20:00:00,0.0,17.540001,30.379999,1.8430001,3.4100001,297.20001,0.0,2.0929,0.06611,0.0
15,2004-04-11 21:00:00,0.0,16.35,35.279999,1.9349999,3.234,309.10001,0.0,2.0929,0.065690003,0.0
16,2004-04-11 22:00:00,0.0,17.26,30.26,1.681,3.391,317.29999,0.0,2.0917001,0.065690003,0.0
17,2004-04-11 23:00:00,0.0,18.08,25.83,1.8099999,5.2719998,308.60001,0.0,2.0929,0.065260001,0.0
18,2004-04-12 00:00:00,0.0,18.809999,20.4,1.723,4.1550002,307.60001,0.0,2.0929,0.064839996,0.0
