,time (PST),fog,air temperature (C),relative humidity (%),wind speed (m/s),wind gust (m/s),wind direction (deg),rain (mm),solar radiation (kwm2),fog tips
1475,2006-05-01 00:00:00,0.0,12.33,97.1,0.271,0.591,50.68,0.0,0.0,0.0
1476,2006-05-01 00:15:00,0.0,12.01,97.1,0.342,0.524,92.9,0.0,0.0,0.0
1477,2006-05-01 00:30:00,0.0,12.19,97.3,0.35,0.627,94.2,0.0,0.0,0.0
1478,2006-05-01 00:45:00,0.0,12.28,97.1,0.329,0.655,119.9,0.0,0.0,0.0
1479,2006-05-01 01:00:00,0.0,12.51,96.0,0.489,1.125,104.3,0.0,0.0,0.0
1480,2006-05-01 01:15:00,0.0,10.58,96.0,0.16,0.691,93.5,0.0,0.0,0.0
1481,2006-05-01 01:30:00,0.0,11.79,97.7,0.525,0.915,88.3,0.0,0.0,0.0
1482,2006-05-01 01:45:00,0.0,12.96,97.6,0.214,0.4,86.7,0.0,0.0,0.0
1483,2006-05-01 02:00:00,0.0,13.11,96.8,0.474,0.818,94.6,0.0,0.0,0.0
1484,2006-05-01 02:15:00,0.0,13.55,94.2,0.884,1.264,99.9,0.0,0.0,0.0
1485,2006-05-01 02:30:00,0.0,13.75,93.4,0.235,0.457,89.9,0.0,0.0,0.0
1486,2006-05-01 02:45:00,0.0,12.69,93.7,0.484,0.993,276.9,0.0,0.0,0.0
1487,2006-05-01 03:00:00,0.0,11.79,95.8,0.129,0.787,320.9,0.0,0.0,0.0
1488,2006-05-01 03:15:00,0.0,12.37,96.9,0.027,0.256,113.0,0.0,0.0,0.0
1489,2006-05-01 03:30:00,0.0,13.15,94.7,0.512,1.135,162.4,0.0,0.0,0.0
1490,2006-05-01 03:45:00,0.0,12.29,94.8,0.376,0.673,106.5,0.253,0.0,0.0
1491,2006-05-01 04:00:00,0.0,12.45,95.0,0.81,1.744,145.3,0.0,0.0,0.0
1492,2006-05-01 04:15:00,0.0,9.81,95.1,0.584,0.965,61.18,0.0,0.0,0.0
1493,2006-05-01 04:30:00,0.0,9.25,97.1,1.061,2.114,126.6,0.0,0.0,0.0
1494,2006-05-01 04:45:00,0.0,9.15,97.6,0.308,0.848,102.4,0.0,0.0,0.0
1495,2006-05-01 05:00:00,0.0,10.09,98.0,0.241,0.479,102.0,0.0,0.0,0.0
1496,2006-05-01 05:15:00,0.0,10.62,98.1,0.674,1.346,121.4,0.0,0.005,0.0
1497,2006-05-01 05:30:00,0.0,11.09,98.1,0.32,0.823,122.2,0.0,0.019,0.0
1498,2006-05-01 05:45:00,0.0,11.12,98.0,0.598,0.875,98.7,0.0,0.034,0.0
1499,2006-05-01 06:00:00,0.0,11.72,98.0,0.412,0.614,83.4,0.0,0.056,0.0
1500,2006-05-01 06:15:00,0.0,11.26,97.6,0.365,0.982,87.8,0.0,0.078,0.0
1501,2006-05-01 06:30:00,0.0,11.39,97.4,0.218,0.732,111.4,0.0,0.087,0.0
1502,2006-05-01 06:45:00,0.0,12.12,97.4,0.164,0.586,78.37,0.0,0.126,0.0
1503,2006-05-01 07:00:00,0.0,11.97,96.4,0.491,0.9,308.8,0.0,0.189,0.0
1504,2006-05-01 07:15:00,0.0,12.2,96.9,0.235,0.421,73.92,0.0,0.216,0.0
1505,2006-05-01 07:30:00,0.0,12.31,96.4,0.324,0.982,211.9,0.0,0.212,0.0
1506,2006-05-01 07:45:00,0.0,11.81,96.6,0.501,1.132,139.4,0.0,0.177,0.0
1507,2006-05-01 08:00:00,0.0,12.11,97.2,0.469,1.155,142.5,0.0,0.241,0.0
1508,2006-05-01 08:15:00,0.0,12.57,97.3,0.394,0.697,70.24,0.0,0.288,0.0
1509,2006-05-01 08:30:00,0.0,13.12,97.0,0.435,0.97,65.36,0.0,0.392,0.0
1510,2006-05-01 08:45:00,0.0,13.41,95.7,0.519,1.042,81.0,0.0,0.431,0.0
1511,2006-05-01 09:00:00,0.0,13.63,94.9,0.429,0.959,160.8,0.0,0.436,0.0
1512,2006-05-01 09:15:00,0.0,13.81,93.4,0.777,1.233,198.6,0.0,0.366,0.0
1513,2006-05-01 09:30:00,0.0,13.67,95.1,0.459,1.016,185.9,0.0,0.381,0.0
1514,2006-05-01 09:45:00,0.0,13.94,93.6,0.757,0.97,228.0,0.0,0.294,0.0
1515,2006-05-01 10:00:00,0.0,13.59,94.0,1.105,1.687,211.8,0.0,0.324,0.0
1516,2006-05-01 10:15:00,0.0,13.51,94.4,1.094,1.668,214.6,0.0,0.34,0.0
