,time,Temp,RH,WindSpd,Par,Pyran_Avg,Rain,Fog,net_rad
0,2005-09-15 15:15:00,15.98,74.25,2.309,1132.0,,,,
1,2005-09-15 15:30:00,15.55,75.94,2.649,1062.0,,,,
2,2005-09-15 15:45:00,15.27,77.03,2.896,958.0,,,,
3,2005-09-15 16:00:00,14.84,78.88,3.144,851.0,,,,
4,2005-09-15 16:15:00,14.11,81.7,3.279,715.4,,,,
5,2005-09-15 16:30:00,12.69,87.8,3.108,421.4,,,,
6,2005-09-15 16:45:00,12.46,89.7,2.723,419.6,,,,
7,2005-09-15 17:00:00,12.9,87.9,2.633,397.5,,,,
8,2005-09-15 17:15:00,11.89,92.0,3.02,139.4,,,,
9,2005-09-15 17:30:00,11.19,95.3,3.151,60.64,,,,
10,2005-09-15 17:45:00,10.99,96.7,3.595,26.82,,,,
11,2005-09-15 18:00:00,10.87,97.5,3.893,12.79,,,,
12,2005-09-15 18:15:00,10.89,97.9,4.002,3.268,,,,
13,2005-09-15 18:30:00,10.88,98.1,3.914,0.323,,,,
14,2005-09-15 18:45:00,10.87,98.3,3.94,0.061,,,,
15,2005-09-15 19:00:00,10.87,98.3,3.737,0.061,,,,
16,2005-09-15 19:15:00,10.85,98.3,3.438,0.0,,,,
17,2005-09-15 19:30:00,10.89,98.3,3.218,0.0,,,,
18,2005-09-15 19:45:00,10.8,98.2,4.061,0.0,,,,
19,2005-09-15 20:00:00,10.65,97.8,3.245,0.0,,,,
20,2005-09-15 20:15:00,10.6,97.4,3.085,0.0,,,,
21,2005-09-15 20:30:00,10.62,97.3,2.573,0.0,,,,
22,2005-09-15 20:45:00,10.6,97.4,2.652,0.02,,,,
23,2005-09-15 21:00:00,10.6,97.5,2.798,0.02,,,,
24,2005-09-15 21:15:00,10.56,97.5,2.511,0.0,,,,
25,2005-09-15 21:30:00,10.49,97.6,2.287,0.0,,,,
26,2005-09-15 21:45:00,10.41,97.7,2.354,0.0,,,,
27,2005-09-15 22:00:00,10.35,97.8,2.824,0.0,,,,
28,2005-09-15 22:15:00,10.25,97.9,2.935,0.0,,,,
29,2005-09-15 22:30:00,10.28,97.9,2.986,0.0,,,,
30,2005-09-15 22:45:00,10.29,98.0,2.643,0.0,,,,
31,2005-09-15 23:00:00,10.2,98.0,2.303,0.0,,,,
32,2005-09-15 23:15:00,10.17,98.1,2.711,0.0,,,,
33,2005-09-15 23:30:00,10.14,98.2,2.566,0.0,,,,
34,2005-09-15 23:45:00,10.15,98.1,2.606,0.0,,,,
35,2005-09-16 00:00:00,10.2,98.1,2.614,0.0,,,,
36,2005-09-16 00:15:00,10.26,98.1,2.82,0.0,,,,
37,2005-09-16 00:30:00,10.23,98.0,2.841,0.0,,,,
38,2005-09-16 00:45:00,10.18,97.8,2.7,0.0,,,,
39,2005-09-16 01:00:00,10.18,97.6,2.714,0.0,,,,
40,2005-09-16 01:15:00,10.17,97.5,2.53,0.0,,,,
41,2005-09-16 01:30:00,10.14,97.5,2.317,0.0,,,,
42,2005-09-16 01:45:00,10.17,97.5,2.259,0.0,,,,
43,2005-09-16 02:00:00,10.13,97.4,1.723,0.0,,,,
44,2005-09-16 02:15:00,10.16,97.4,1.454,0.0,,,,
45,2005-09-16 02:30:00,10.21,97.6,1.932,0.0,,,,
46,2005-09-16 02:45:00,10.16,97.8,1.711,0.0,,,,
47,2005-09-16 03:00:00,10.13,97.6,1.988,0.0,,,,
48,2005-09-16 03:15:00,10.09,97.5,1.454,0.0,,,,
49,2005-09-16 03:30:00,10.04,97.6,0.806,0.0,,,,
50,2005-09-16 03:45:00,10.15,97.8,0.758,0.0,,,,
51,2005-09-16 04:00:00,10.21,97.9,0.783,0.0,,,,
52,2005-09-16 04:15:00,10.24,97.9,0.706,0.0,,,,
53,2005-09-16 04:30:00,10.29,98.0,0.715,0.0,,,,
54,2005-09-16 04:45:00,10.36,98.1,0.77,0.0,,,,
55,2005-09-16 05:00:00,10.36,98.2,0.673,0.0,,,,
56,2005-09-16 05:15:00,10.32,98.2,0.843,0.0,,,,
57,2005-09-16 05:30:00,10.35,98.3,0.656,0.101,,,,
58,2005-09-16 05:45:00,10.45,98.3,0.441,1.554,,,,
59,2005-09-16 06:00:00,10.61,98.4,0.348,8.19,,,,
60,2005-09-16 06:15:00,10.77,98.4,0.179,13.88,,,,
61,2005-09-16 06:30:00,10.78,98.4,1.162,26.61,,,,
62,2005-09-16 06:45:00,10.57,98.4,1.313,38.4,,,,
63,2005-09-16 07:00:00,10.51,98.4,1.206,62.92,,,,
64,2005-09-16 07:15:00,10.52,98.4,1.064,95.5,,,,
65,2005-09-16 07:30:00,10.73,98.4,0.974,122.3,,,,
66,2005-09-16 07:45:00,10.9,98.3,1.043,134.6,,,,
67,2005-09-16 08:00:00,10.94,98.0,1.091,185.9,,,,
68,2005-09-16 08:15:00,11.2,97.4,1.049,230.9,,,,
69,2005-09-16 08:30:00,11.53,96.1,0.896,289.5,,,,
70,2005-09-16 08:45:00,12.33,93.7,1.018,730.8,,,,
71,2005-09-16 09:00:00,13.3,88.1,1.482,1023.0,,,,
72,2005-09-16 09:15:00,13.82,85.3,1.539,1358.0,,,,
73,2005-09-16 09:30:00,14.16,84.4,1.858,1383.0,,,,
74,2005-09-16 09:45:00,14.31,83.2,2.11,1468.0,,,,
75,2005-09-16 10:00:00,14.52,82.3,2.042,1525.0,,,,
76,2005-09-16 10:15:00,14.9,80.8,2.093,1589.0,,,,
77,2005-09-16 10:30:00,15.06,79.8,2.02,1645.0,,,,
78,2005-09-16 10:45:00,15.34,78.2,2.1,1692.0,,,,
79,2005-09-16 11:00:00,15.26,77.89,2.34,1731.0,,,,
80,2005-09-16 11:15:00,15.25,78.23,2.464,1763.0,,,,
81,2005-09-16 11:30:00,15.54,77.33,2.337,1784.0,,,,
82,2005-09-16 11:45:00,15.48,77.97,2.74,1794.0,,,,
83,2005-09-16 12:00:00,15.73,77.27,2.662,1803.0,,,,
84,2005-09-16 12:15:00,15.32,78.68,3.225,1794.0,,,,
85,2005-09-16 12:30:00,14.55,81.1,2.795,1344.0,,,,
86,2005-09-16 12:45:00,14.42,81.4,2.787,1455.0,,,,
87,2005-09-16 13:00:00,14.28,81.9,2.509,1471.0,,,,
88,2005-09-16 13:15:00,15.11,78.34,2.482,1711.0,,,,
89,2005-09-16 13:30:00,15.93,74.49,2.762,1667.0,,,,
90,2005-09-16 13:45:00,15.73,74.54,3.37,1613.0,,,,
91,2005-09-16 14:00:00,14.88,77.67,4.053,1558.0,,,,
92,2005-09-16 14:15:00,14.44,79.11,3.993,1445.0,,,,
93,2005-09-16 14:30:00,14.16,80.3,4.261,1430.0,,,,
94,2005-09-16 14:45:00,14.02,80.4,3.965,1341.0,,,,
95,2005-09-16 15:00:00,14.07,79.91,3.731,1253.0,,,,
96,2005-09-16 15:15:00,13.61,82.2,3.773,1126.0,,,,
97,2005-09-16 15:30:00,13.1,84.4,3.779,1014.0,,,,
98,2005-09-16 15:45:00,13.05,84.7,3.87,898.0,,,,
99,2005-09-16 16:00:00,13.11,84.1,4.141,852.0,,,,
100,2005-09-16 16:15:00,12.75,86.1,4.048,670.5,,,,
101,2005-09-16 16:30:00,11.91,90.5,4.409,352.5,,,,
