time,fog-harp-ml,fog-remove-flag,relative-humidity-minimum-rh-min-pct,solar-radiation-average-slr-flux-k-w-avg-kwm-2,air-temperature-average-degc,air-temperature-maximum-degc,battery-voltage-batt-v-v,air-temperature-minimum-degc,barometric-pressure-average-bp-mbar-avg-mb,lightning-strike-distance-average-dist-km-avg-km,leaf-wetness-sum-lwm-con-tot-min,wind-invalid-flag-sum-invalid-wind-tot,leaf-wetness-average-l-wm-v-avg-mv,leaf-wetness-sum-lwm-dry-tot-min,leaf-wetness-sum-lwm-wet-tot-min,soil-water-potential-average-matrix-potential-100-avg-kpa,soil-water-potential-average-matrix-potential-100-bare-avg-kpa,soil-water-potential-average-matrix-potential-1300-avg-kpa,soil-water-potential-average-matrix-potential-400-avg-kpa,soil-water-potential-average-matrix-potential-100-veg-avg-kpa,soil-water-potential-average-matrix-potential-400-veg-avg-kpa,soil-water-potential-average-matrix-potential-400-bare-avg-kpa,soil-water-potential-average-matrix-potential-700-bare-avg-kpa,soil-temperature-10-cm-bare-pit-average-degc,soil-water-potential-average-matrix-potential-900-avg-kpa,wind-speed-maximum-max-ws-ms-max-ms,soil-temperature-10-cm-average-degc,air-temperature-average-mp-1300-temp-avg-degc,air-temperature-10-cm-open-port-for-future-coyote-brush-pit-average-degc,air-temperature-average-mp-400-bare-temp-avg-degc,air-temperature-average-mp-700-bare-temp-avg-degc,air-temperature-average-mp-400-temp-avg-degc,air-temperature-average-mp-400-veg-temp-avg-degc,rainfall-sum-rain-mm-tot-mm,instrument-temperature-p-temp-c-degc,air-temperature-average-mp-900-temp-avg-degc,relative-humidity-maximum-rh-max-pct,lightning-strikes-sum-strikes-tot-count,barometric-pressure-average-vp-mbar-avg-mb,soil-moisture-average-vwc-100-veg-avg,soil-moisture-average-vwc-100-soil-avg,soil-moisture-average-vwc-1500-soil-avg,soil-moisture-average-vwc-250-soil-avg,soil-moisture-average-vwc-250-veg-avg,soil-moisture-average-vwc-50-soil-avg,soil-moisture-average-vwc-750-soil-avg,soil-moisture-average-vwc-50-veg-avg,soil-moisture-average-vwc-750-veg-avg,air-temperature-wind-vector-cells-wind-dir-du-wvt-deg,wind-speed-wind-vector-cells-ws-ms-u-wvt-ms,air-temperature-wind-vector-cells-wind-dir-sdu-wvt-deg,wind-speed-wind-vector-cells-ws-ms-s-wvt-ms
8/1/22 0:00,0,,95.4,0,15.99,16.2,12.89,15.8,989.2433,0,0,0,306,0,10,-403.1,0,0,-389.3,,,0,0,0,0,3.43,25.76,0,,0,0,21.7,,0,16.27,0,97.6,0,17.51333,-0.26,0.165,-0.396,0.27,-0.222,0.1,0.307,-0.286,-0.186,177.9,2.145,9.88,2.177
8/1/22 0:10,0,,96.3,0,15.94,16.1,12.9,15.8,989.4311,0,0,0,302.8,0,10,-405.5,0,0,-388.7,,,0,0,0,0,3.3,25.7,0,,0,0,21.7,,0,16.23,0,97.7,0,17.57832,-0.26,0.165,-0.396,0.27,-0.223,0.1,0.307,-0.286,-0.186,175.3,2.085,11.84,2.13
8/1/22 0:20,0,,96.1,0,16.14,16.2,12.88,16,989.4231,0,0,0,295.6,0,10,-404.9,0,0,-387.3,,,0,0,0,0,3.6,25.65,0,,0,0,21.7,,0,16.43,0,97.4,0,17.75,-0.26,0.165,-0.396,0.27,-0.224,0.1,0.307,-0.286,-0.187,171.2,1.827,13.02,1.875
8/1/22 0:30,0,,96.9,0,16.28,16.3,12.88,16.2,989.3751,0,0,0,291.8,0,10,-407.6,0,0,-389.6,,,0,0,0,0,2.38,25.6,0,,0,0,21.7,,0,16.58,0,97.6,0,17.99666,-0.263,0.164,-0.396,0.27,-0.226,0.099,0.307,-0.288,-0.19,157.6,1.347,21.67,1.451
8/1/22 0:40,0,,97.5,0,16.38,16.4,12.9,16.3,989.3138,0,0,0,289.1,0,10,-404.8,0,0,-387.7,,,0,0,0,0,2.47,25.56,0,,0,0,21.7,,0,16.61,0,98.2,0,18.19334,-0.264,0.164,-0.396,0.27,-0.228,0.099,0.307,-0.29,-0.192,146.9,1.082,25.53,1.201
8/1/22 0:50,0,,98,0,16.44,16.5,12.88,16.4,989.3168,0,0,0,286.5,0,10,-407.8,0,0,-388.4,,,0,0,0,0,2.78,25.5,0,,0,0,21.7,,0,16.87,0,98.3,0,18.34667,-0.266,0.164,-0.396,0.27,-0.23,0.099,0.307,-0.291,-0.195,134.3,1.145,27.47,1.293
8/1/22 1:00,0,,98.1,0,16.5,16.5,12.88,16.5,989.2835,0,0,0,285.1,0,10,-408.2,0,0,-388.2,,,0,0,0,0,3.35,25.45,0,,0,0,21.7,,0,16.93,0,98.8,0,18.46833,-0.265,0.164,-0.396,0.27,-0.23,0.099,0.307,-0.29,-0.195,146,1.341,24.85,1.48
8/1/22 1:10,0,,98.5,0,16.58,16.6,12.89,16.5,989.4247,0,8.67,0,283.2,0,1.333,-409.8,0,0,-388.7,,,0,0,0,0,3.1,25.4,0,,0,0,21.7,,0,16.85,0,98.9,0,18.59999,-0.265,0.164,-0.396,0.27,-0.231,0.099,0.307,-0.29,-0.196,133.9,0.838,36.26,1.048
8/1/22 1:20,0,,98.9,0,16.55,16.6,12.88,16.5,989.4131,0,10,0,281.8,0,0,-409.1,0,0,-389.3,,,0,0,0,0,2.42,25.36,0,,0,0,21.7,,0,16.93,0,99.6,0,18.69,-0.266,0.164,-0.395,0.27,-0.231,0.099,0.307,-0.29,-0.197,160.8,1.226,18.43,1.292
8/1/22 1:30,0,,99.5,0,16.48,16.5,12.87,16.4,989.2184,0,8.83,0,282.5,0,1.167,-411.1,0,0,-388.6,,,0,0,0,0,2.73,25.3,0,,0,0,21.7,,0,16.99,0,100,0,18.69167,-0.265,0.164,-0.395,0.27,-0.231,0.099,0.307,-0.29,-0.198,152.4,1.147,19.38,1.217
